ad_id,age,gender,percentage
592595716605922,55-64,male,0.127281
592595716605922,55-64,female,0.079693
592595716605922,45-54,unknown,0.001643
592595716605922,45-54,female,0.067022
592595716605922,18-24,male,0.038465
592595716605922,35-44,unknown,0.001381
592595716605922,35-44,male,0.165746
592595716605922,35-44,female,0.040871
592595716605922,25-34,unknown,0.001048
592595716605922,25-34,male,0.10937
592595716605922,25-34,female,0.022936
592595716605922,18-24,unknown,0.000762
592595716605922,65+,unknown,0.000857
9571649186183615,18-24,female,0.018015
9571649186183615,45-54,male,0.164335
9571649186183615,65+,male,0.055591
9571649186183615,65+,female,0.065361
9571649186183615,55-64,unknown,0.00089
9571649186183615,55-64,male,0.091599
9571649186183615,55-64,female,0.077314
9571649186183615,45-54,unknown,0.001844
9571649186183615,45-54,female,0.075619
9571649186183615,18-24,male,0.044846
9571649186183615,35-44,unknown,0.001759
9571649186183615,35-44,male,0.183494
9571649186183615,35-44,female,0.051267
9571649186183615,25-34,unknown,0.001356
9571649186183615,25-34,male,0.135703
9571649186183615,25-34,female,0.029332
9571649186183615,18-24,unknown,0.000721
9571649186183615,65+,unknown,0.000954
1179942079893435,35-44,female,0.024854
1179942079893435,55-64,female,0.235354
1179942079893435,45-54,female,0.075577
1179942079893435,25-34,female,0.015978
1179942079893435,65+,female,0.641897
1179942079893435,18-24,female,0.00634
1436971313668225,25-34,unknown,0.000738
1436971313668225,18-24,female,0.011371
1436971313668225,65+,unknown,0.00082
1436971313668225,35-44,unknown,0.001393
1436971313668225,18-24,male,0.031368
1436971313668225,25-34,male,0.126847
1436971313668225,45-54,female,0.078841
1436971313668225,25-34,female,0.028807
1436971313668225,65+,female,0.046346
1436971313668225,45-54,unknown,0.001701
1436971313668225,45-54,male,0.194152
1436971313668225,55-64,male,0.108038
1436971313668225,55-64,female,0.073022
1436971313668225,35-44,male,0.193333
1436971313668225,35-44,female,0.049665
1436971313668225,65+,male,0.052533
1436971313668225,55-64,unknown,0.000615
1436971313668225,18-24,unknown,0.00041
749940967152360,65+,female,0.449891
749940967152360,35-44,female,0.067396
749940967152360,55-64,female,0.284902
749940967152360,45-54,female,0.154923
749940967152360,18-24,female,0.013567
749940967152360,25-34,female,0.029322
284949234707681,35-44,unknown,0.001489
284949234707681,45-54,male,0.148016
284949234707681,65+,unknown,0.000585
284949234707681,35-44,male,0.16578
284949234707681,18-24,male,0.040669
284949234707681,45-54,female,0.096975
284949234707681,18-24,female,0.031025
284949234707681,25-34,male,0.11997
284949234707681,35-44,female,0.08742
284949234707681,25-34,unknown,0.001046
284949234707681,65+,male,0.040776
284949234707681,55-64,male,0.071978
284949234707681,55-64,female,0.079779
284949234707681,25-34,female,0.057813
284949234707681,65+,female,0.053966
284949234707681,45-54,unknown,0.001436
284949234707681,18-24,unknown,0.000496
284949234707681,55-64,unknown,0.00078
501124268958756,18-24,female,0.005503
501124268958756,45-54,female,0.10571
501124268958756,55-64,female,0.299243
501124268958756,65+,female,0.523733
501124268958756,35-44,female,0.05274
501124268958756,25-34,female,0.01307
744516467629702,18-24,female,0.020747
744516467629702,25-34,female,0.043568
744516467629702,65+,female,0.456432
744516467629702,55-64,female,0.268672
744516467629702,45-54,female,0.144191
744516467629702,35-44,female,0.06639
310433812120730,18-24,unknown,0.000807
310433812120730,35-44,female,0.068819
310433812120730,25-34,unknown,0.001399
310433812120730,65+,unknown,0.000789
310433812120730,35-44,unknown,0.001991
310433812120730,18-24,female,0.028715
310433812120730,65+,male,0.043153
310433812120730,35-44,male,0.184288
310433812120730,55-64,male,0.061842
310433812120730,45-54,unknown,0.001399
310433812120730,25-34,male,0.159376
310433812120730,45-54,female,0.081589
310433812120730,18-24,male,0.06003
310433812120730,25-34,female,0.046579
310433812120730,55-64,female,0.064568
310433812120730,45-54,male,0.148238
310433812120730,65+,female,0.045682
310433812120730,55-64,unknown,0.000735
2755947361241217,25-34,female,0.092768
2755947361241217,35-44,female,0.107156
2755947361241217,18-24,female,0.043165
2755947361241217,45-54,female,0.135555
2755947361241217,65+,female,0.385081
2755947361241217,55-64,female,0.236274
1189009068937403,55-64,unknown,0.000515
1189009068937403,55-64,female,0.068296
1189009068937403,65+,unknown,0.000355
1189009068937403,35-44,unknown,0.00087
1189009068937403,18-24,unknown,0.000693
1189009068937403,25-34,unknown,0.001243
1189009068937403,65+,male,0.03302
1189009068937403,45-54,female,0.084993
1189009068937403,65+,female,0.043109
1189009068937403,25-34,male,0.146308
1189009068937403,25-34,female,0.070694
1189009068937403,18-24,female,0.062719
1189009068937403,45-54,male,0.125029
1189009068937403,35-44,female,0.074264
1189009068937403,55-64,male,0.059077
1189009068937403,35-44,male,0.141868
1189009068937403,18-24,male,0.086076
1189009068937403,45-54,unknown,0.00087
800539168698423,45-54,female,0.112782
800539168698423,55-64,female,0.323308
800539168698423,65+,female,0.503759
800539168698423,25-34,female,0.015038
800539168698423,35-44,female,0.045113
416540474519950,35-44,female,0.0257
416540474519950,65+,female,0.566774
416540474519950,45-54,female,0.092703
416540474519950,55-64,female,0.288665
416540474519950,25-34,female,0.019275
416540474519950,18-24,female,0.006884
958153392476925,65+,unknown,0.000613
958153392476925,25-34,male,0.150165
958153392476925,55-64,male,0.053106
958153392476925,55-64,female,0.073368
958153392476925,65+,male,0.035315
958153392476925,45-54,male,0.12071
958153392476925,45-54,female,0.096063
958153392476925,35-44,male,0.149782
958153392476925,25-34,female,0.079248
958153392476925,55-64,unknown,0.000345
958153392476925,18-24,male,0.055941
958153392476925,65+,female,0.051478
958153392476925,18-24,female,0.037728
958153392476925,35-44,female,0.092539
958153392476925,35-44,unknown,0.001283
958153392476925,25-34,unknown,0.000977
958153392476925,18-24,unknown,0.00046
958153392476925,45-54,unknown,0.000881
291975123951930,18-24,unknown,0.000258
291975123951930,55-64,female,0.073481
291975123951930,25-34,unknown,0.000687
291975123951930,35-44,unknown,0.000988
291975123951930,45-54,unknown,0.000816
291975123951930,18-24,male,0.044642
291975123951930,65+,male,0.039854
291975123951930,35-44,male,0.157913
291975123951930,45-54,male,0.127314
291975123951930,65+,unknown,0.000558
291975123951930,55-64,male,0.058664
291975123951930,65+,female,0.055594
291975123951930,25-34,female,0.072772
291975123951930,45-54,female,0.094009
291975123951930,18-24,female,0.031759
291975123951930,25-34,male,0.158815
291975123951930,35-44,female,0.081297
291975123951930,55-64,unknown,0.00058
444313571293149,35-44,female,0.023141
444313571293149,25-34,female,0.016248
444313571293149,55-64,female,0.209257
444313571293149,65+,female,0.701625
444313571293149,45-54,female,0.043328
444313571293149,18-24,female,0.006401
950528733378369,18-24,female,0.014457
950528733378369,55-64,female,0.287637
950528733378369,45-54,female,0.115155
950528733378369,65+,female,0.487039
950528733378369,35-44,female,0.059322
950528733378369,25-34,female,0.036391
617086833973817,55-64,female,0.071661
617086833973817,35-44,male,0.143322
617086833973817,65+,male,0.045603
617086833973817,18-24,male,0.055375
617086833973817,65+,female,0.055375
617086833973817,55-64,male,0.032573
617086833973817,25-34,male,0.127036
617086833973817,25-34,female,0.104235
617086833973817,35-44,female,0.091205
617086833973817,45-54,male,0.123779
617086833973817,45-54,female,0.094463
617086833973817,18-24,female,0.045603
617086833973817,65+,unknown,0.003257
617086833973817,45-54,unknown,0.003257
617086833973817,25-34,unknown,0.003257
1154491045682886,35-44,unknown,0.006849
1154491045682886,25-34,male,0.061644
1154491045682886,35-44,female,0.089041
1154491045682886,55-64,male,0.068493
1154491045682886,25-34,female,0.047945
1154491045682886,45-54,female,0.136986
1154491045682886,18-24,male,0.061644
1154491045682886,65+,female,0.089041
1154491045682886,35-44,male,0.136986
1154491045682886,55-64,female,0.116438
1154491045682886,45-54,male,0.09589
1154491045682886,18-24,female,0.041096
1154491045682886,65+,male,0.041096
1154491045682886,45-54,unknown,0.006849
440098671863360,65+,female,0.592506
440098671863360,35-44,female,0.035129
440098671863360,55-64,female,0.248244
440098671863360,45-54,female,0.100703
440098671863360,25-34,female,0.014052
440098671863360,18-24,female,0.009368
751937887005631,55-64,unknown,0.000443
751937887005631,18-24,male,0.045005
751937887005631,45-54,unknown,0.00059
751937887005631,25-34,unknown,0.00118
751937887005631,18-24,female,0.041021
751937887005631,65+,female,0.06891
751937887005631,35-44,male,0.143426
751937887005631,55-64,male,0.059318
751937887005631,65+,male,0.0453
751937887005631,65+,unknown,0.000443
751937887005631,25-34,female,0.073336
751937887005631,25-34,male,0.140328
751937887005631,18-24,unknown,0.00059
751937887005631,45-54,male,0.126457
751937887005631,35-44,female,0.081452
751937887005631,45-54,female,0.091486
751937887005631,55-64,female,0.079534
751937887005631,35-44,unknown,0.00118
1919019615181424,45-54,unknown,0.000803
1919019615181424,18-24,female,0.055399
1919019615181424,18-24,unknown,0.000401
1919019615181424,55-64,unknown,0.001606
1919019615181424,25-34,unknown,0.000803
1919019615181424,45-54,female,0.096748
1919019615181424,55-64,female,0.078282
1919019615181424,55-64,male,0.065034
1919019615181424,45-54,male,0.141309
1919019615181424,65+,male,0.03613
1919019615181424,18-24,male,0.050582
1919019615181424,35-44,male,0.150141
1919019615181424,65+,female,0.046969
1919019615181424,25-34,male,0.114813
1919019615181424,25-34,female,0.074267
1919019615181424,35-44,female,0.086311
1919019615181424,35-44,unknown,0.000401
3608720879445951,45-54,unknown,0.001142
3608720879445951,18-24,unknown,0.002283
3608720879445951,25-34,female,0.084475
3608720879445951,18-24,female,0.055936
3608720879445951,55-64,female,0.039954
3608720879445951,18-24,male,0.089041
3608720879445951,45-54,female,0.093607
3608720879445951,45-54,male,0.139269
3608720879445951,55-64,male,0.047945
3608720879445951,35-44,female,0.071918
3608720879445951,25-34,male,0.18379
3608720879445951,35-44,male,0.188356
3608720879445951,35-44,unknown,0.001142
3608720879445951,25-34,unknown,0.001142
957864548746310,55-64,unknown,0.000557
957864548746310,25-34,unknown,0.001115
957864548746310,18-24,unknown,0.00223
957864548746310,25-34,male,0.16388
957864548746310,45-54,female,0.096433
957864548746310,35-44,female,0.105351
957864548746310,18-24,female,0.065217
957864548746310,35-44,male,0.170011
957864548746310,18-24,male,0.07971
957864548746310,45-54,male,0.126533
957864548746310,25-34,female,0.103679
957864548746310,55-64,male,0.039019
957864548746310,55-64,female,0.044036
957864548746310,45-54,unknown,0.001115
957864548746310,35-44,unknown,0.001115
1127698238571471,65+,unknown,0.00053
1127698238571471,45-54,female,0.069977
1127698238571471,35-44,unknown,0.00159
1127698238571471,45-54,unknown,0.00106
1127698238571471,55-64,unknown,0.00053
1127698238571471,55-64,female,0.037286
1127698238571471,18-24,female,0.024916
1127698238571471,55-64,male,0.058137
1127698238571471,25-34,female,0.064499
1127698238571471,25-34,unknown,0.000353
1127698238571471,35-44,female,0.074218
1127698238571471,45-54,male,0.153207
1127698238571471,35-44,male,0.197031
1127698238571471,18-24,male,0.077752
1127698238571471,25-34,male,0.214172
1127698238571471,65+,male,0.011663
1127698238571471,65+,female,0.013077
746131974065563,35-44,female,0.047771
746131974065563,45-54,female,0.093418
746131974065563,18-24,female,0.006369
746131974065563,55-64,female,0.195329
746131974065563,65+,female,0.641189
746131974065563,25-34,female,0.015924
1020291918934131,55-64,unknown,0.000574
1020291918934131,25-34,male,0.20046
1020291918934131,25-34,female,0.109707
1020291918934131,18-24,female,0.08386
1020291918934131,55-64,female,0.032165
1020291918934131,55-64,male,0.02757
1020291918934131,45-54,male,0.082711
1020291918934131,18-24,male,0.114302
1020291918934131,45-54,female,0.073521
1020291918934131,35-44,male,0.171166
1020291918934131,35-44,female,0.101091
1020291918934131,45-54,unknown,0.001149
1020291918934131,25-34,unknown,0.001149
1020291918934131,35-44,unknown,0.000574
165070903062437,18-24,unknown,0.002033
165070903062437,25-34,unknown,0.006098
165070903062437,25-34,male,0.148374
165070903062437,45-54,female,0.077236
165070903062437,35-44,female,0.056911
165070903062437,35-44,male,0.213415
165070903062437,55-64,female,0.081301
165070903062437,45-54,male,0.197154
165070903062437,55-64,male,0.109756
165070903062437,18-24,male,0.073171
165070903062437,25-34,female,0.022358
165070903062437,18-24,female,0.010163
165070903062437,35-44,unknown,0.002033
1553778902180285,35-44,unknown,0.000678
1553778902180285,18-24,male,0.02025
1553778902180285,55-64,female,0.131488
1553778902180285,55-64,male,0.087412
1553778902180285,25-34,male,0.061953
1553778902180285,35-44,female,0.060597
1553778902180285,45-54,male,0.117371
1553778902180285,45-54,female,0.106707
1553778902180285,35-44,male,0.100419
1553778902180285,18-24,unknown,0.000647
1553778902180285,65+,female,0.183208
1553778902180285,65+,male,0.09034
1553778902180285,25-34,female,0.02848
1553778902180285,18-24,female,0.007459
1553778902180285,25-34,unknown,0.000277
1553778902180285,65+,unknown,0.000925
1553778902180285,55-64,unknown,0.000801
1553778902180285,45-54,unknown,0.000986
876984947302922,45-54,unknown,0.001026
876984947302922,45-54,male,0.114872
876984947302922,55-64,unknown,0.001026
876984947302922,35-44,female,0.027487
876984947302922,18-24,female,0.008
876984947302922,25-34,male,0.054359
876984947302922,25-34,female,0.019897
876984947302922,55-64,male,0.132308
876984947302922,35-44,male,0.083077
876984947302922,25-34,unknown,0.000205
876984947302922,55-64,female,0.107282
876984947302922,65+,male,0.154872
876984947302922,45-54,female,0.056
876984947302922,65+,female,0.218872
876984947302922,18-24,male,0.018872
876984947302922,35-44,unknown,0.00041
876984947302922,65+,unknown,0.001436
871282641611626,35-44,unknown,0.000475
871282641611626,65+,male,0.100041
871282641611626,25-34,unknown,0.000306
871282641611626,65+,unknown,0.000985
871282641611626,35-44,female,0.04676
871282641611626,25-34,male,0.049749
871282641611626,35-44,male,0.087408
871282641611626,45-54,female,0.09746
871282641611626,45-54,male,0.125136
871282641611626,45-54,unknown,0.000815
871282641611626,55-64,male,0.109447
871282641611626,65+,female,0.206534
871282641611626,55-64,female,0.136342
871282641611626,25-34,female,0.021699
871282641611626,55-64,unknown,0.000577
871282641611626,18-24,female,0.004245
871282641611626,18-24,male,0.011817
871282641611626,18-24,unknown,0.000204
1266374447684522,18-24,female,0.001506
1266374447684522,45-54,unknown,0.000753
1266374447684522,18-24,male,0.00753
1266374447684522,25-34,male,0.016566
1266374447684522,35-44,female,0.015813
1266374447684522,55-64,female,0.149096
1266374447684522,45-54,male,0.127259
1266374447684522,55-64,male,0.136295
1266374447684522,65+,male,0.144578
1266374447684522,35-44,male,0.069277
1266374447684522,65+,female,0.27259
1266374447684522,45-54,female,0.051958
1266374447684522,25-34,female,0.006024
1266374447684522,35-44,unknown,0.000753
383276704824568,45-54,unknown,0.001115
383276704824568,55-64,male,0.134412
383276704824568,45-54,female,0.055215
383276704824568,35-44,female,0.016732
383276704824568,55-64,female,0.12995
383276704824568,65+,female,0.233687
383276704824568,65+,male,0.170106
383276704824568,45-54,male,0.139431
383276704824568,25-34,male,0.025655
383276704824568,65+,unknown,0.001115
383276704824568,35-44,unknown,0.001115
383276704824568,35-44,male,0.069158
383276704824568,18-24,male,0.007808
383276704824568,18-24,female,0.003904
383276704824568,55-64,unknown,0.001673
383276704824568,25-34,unknown,0.000558
383276704824568,25-34,female,0.008366
386332784348474,25-34,unknown,8.7E-5
386332784348474,45-54,female,0.044671
386332784348474,18-24,unknown,0.000348
386332784348474,65+,unknown,0.001742
386332784348474,25-34,female,0.00984
386332784348474,25-34,male,0.019854
386332784348474,45-54,male,0.075322
386332784348474,35-44,male,0.033699
386332784348474,55-64,unknown,0.001045
386332784348474,18-24,female,0.005312
386332784348474,65+,female,0.317224
386332784348474,55-64,male,0.133925
386332784348474,55-64,female,0.135057
386332784348474,65+,male,0.196273
386332784348474,35-44,female,0.016109
386332784348474,18-24,male,0.007663
386332784348474,35-44,unknown,0.000784
386332784348474,45-54,unknown,0.001045
386202991251134,18-24,unknown,0.000176
386202991251134,45-54,male,0.125385
386202991251134,55-64,unknown,0.00088
386202991251134,45-54,unknown,0.001056
386202991251134,65+,unknown,0.001408
386202991251134,35-44,unknown,0.000616
386202991251134,65+,female,0.258601
386202991251134,65+,male,0.19736
386202991251134,55-64,female,0.111747
386202991251134,35-44,female,0.009767
386202991251134,45-54,female,0.041267
386202991251134,35-44,male,0.046106
386202991251134,55-64,male,0.168852
386202991251134,25-34,male,0.021381
386202991251134,25-34,female,0.006423
386202991251134,18-24,male,0.007391
386202991251134,18-24,female,0.001584
1191519848725687,55-64,unknown,0.001087
1191519848725687,45-54,unknown,0.001087
1191519848725687,25-34,unknown,0.001087
1191519848725687,18-24,male,0.006522
1191519848725687,65+,unknown,0.002174
1191519848725687,25-34,male,0.031522
1191519848725687,45-54,female,0.053261
1191519848725687,65+,female,0.26413
1191519848725687,35-44,male,0.069565
1191519848725687,55-64,male,0.13587
1191519848725687,55-64,female,0.129348
1191519848725687,45-54,male,0.143478
1191519848725687,65+,male,0.144565
1191519848725687,35-44,female,0.01413
1191519848725687,25-34,female,0.002174
507694258647859,65+,unknown,0.001099
507694258647859,35-44,female,0.008791
507694258647859,25-34,female,0.005495
507694258647859,55-64,unknown,0.001099
507694258647859,45-54,female,0.037363
507694258647859,35-44,male,0.123077
507694258647859,55-64,female,0.086813
507694258647859,65+,female,0.169231
507694258647859,65+,male,0.134066
507694258647859,55-64,male,0.176923
507694258647859,18-24,male,0.016484
507694258647859,45-54,male,0.176923
507694258647859,25-34,male,0.062637
1046879547098956,55-64,unknown,0.000442
1046879547098956,65+,unknown,0.000885
1046879547098956,18-24,female,0.004425
1046879547098956,25-34,female,0.017257
1046879547098956,25-34,male,0.087611
1046879547098956,65+,female,0.129204
1046879547098956,35-44,male,0.119912
1046879547098956,65+,male,0.092478
1046879547098956,45-54,male,0.202212
1046879547098956,18-24,male,0.024779
1046879547098956,55-64,female,0.093805
1046879547098956,55-64,male,0.10531
1046879547098956,45-54,female,0.090265
1046879547098956,35-44,female,0.027876
1046879547098956,45-54,unknown,0.002655
1046879547098956,35-44,unknown,0.000885
1259808391702951,25-34,male,0.005435
1259808391702951,18-24,female,0.001812
1259808391702951,35-44,female,0.01087
1259808391702951,35-44,male,0.052536
1259808391702951,55-64,female,0.130435
1259808391702951,65+,male,0.23913
1259808391702951,65+,female,0.257246
1259808391702951,45-54,female,0.039855
1259808391702951,55-64,male,0.161232
1259808391702951,45-54,male,0.088768
1259808391702951,55-64,unknown,0.001812
1259808391702951,25-34,female,0.003623
1259808391702951,18-24,male,0.005435
1259808391702951,25-34,unknown,0.001812
3733906706862113,55-64,unknown,0.001294
3733906706862113,55-64,female,0.124919
3733906706862113,18-24,female,0.003883
3733906706862113,65+,unknown,0.000647
3733906706862113,45-54,unknown,0.001294
3733906706862113,18-24,male,0.00712
3733906706862113,25-34,female,0.010356
3733906706862113,45-54,male,0.12233
3733906706862113,35-44,male,0.049191
3733906706862113,18-24,unknown,0.000647
3733906706862113,55-64,male,0.141748
3733906706862113,65+,male,0.198706
3733906706862113,65+,female,0.256958
3733906706862113,45-54,female,0.052427
3733906706862113,35-44,female,0.014239
3733906706862113,25-34,male,0.013592
3733906706862113,35-44,unknown,0.000647
1896254104191025,35-44,unknown,0.001023
1896254104191025,55-64,male,0.123405
1896254104191025,45-54,unknown,0.000895
1896254104191025,65+,unknown,0.000512
1896254104191025,35-44,female,0.014902
1896254104191025,45-54,male,0.222123
1896254104191025,65+,female,0.050942
1896254104191025,45-54,female,0.030124
1896254104191025,65+,male,0.084551
1896254104191025,55-64,unknown,0.000384
1896254104191025,35-44,male,0.216047
1896254104191025,25-34,male,0.161204
1896254104191025,55-64,female,0.036615
1896254104191025,18-24,male,0.043203
1896254104191025,18-24,female,0.003262
1896254104191025,25-34,unknown,0.000672
1896254104191025,25-34,female,0.009753
1896254104191025,18-24,unknown,0.000384
1071187774370065,55-64,unknown,0.000744
1071187774370065,55-64,female,0.086229
1071187774370065,45-54,unknown,0.001148
1071187774370065,45-54,male,0.191417
1071187774370065,25-34,female,0.016897
1071187774370065,55-64,male,0.123339
1071187774370065,35-44,male,0.145423
1071187774370065,25-34,male,0.1003
1071187774370065,65+,male,0.093456
1071187774370065,18-24,unknown,0.000255
1071187774370065,45-54,female,0.066611
1071187774370065,18-24,male,0.023146
1071187774370065,65+,female,0.114455
1071187774370065,35-44,female,0.030798
1071187774370065,18-24,female,0.003613
1071187774370065,35-44,unknown,0.000893
1071187774370065,25-34,unknown,0.000531
1071187774370065,65+,unknown,0.000744
3324086937886449,55-64,unknown,0.000455
3324086937886449,65+,male,0.028647
3324086937886449,45-54,unknown,0.001281
3324086937886449,18-24,unknown,0.001778
3324086937886449,55-64,male,0.070026
3324086937886449,35-44,male,0.159729
3324086937886449,55-64,female,0.068083
3324086937886449,18-24,male,0.059898
3324086937886449,35-44,female,0.067174
3324086937886449,65+,unknown,0.000289
3324086937886449,25-34,male,0.158447
3324086937886449,65+,female,0.047538
3324086937886449,45-54,male,0.142284
3324086937886449,45-54,female,0.086354
3324086937886449,18-24,female,0.044686
3324086937886449,25-34,female,0.06089
3324086937886449,25-34,unknown,0.001529
3324086937886449,35-44,unknown,0.000909
496275436475010,25-34,female,0.010684
496275436475010,45-54,male,0.144017
496275436475010,25-34,unknown,0.001068
496275436475010,18-24,unknown,0.000855
496275436475010,45-54,unknown,0.000855
496275436475010,18-24,female,0.011752
496275436475010,55-64,unknown,0.000641
496275436475010,35-44,male,0.064316
496275436475010,65+,male,0.167094
496275436475010,25-34,male,0.029915
496275436475010,55-64,female,0.117735
496275436475010,65+,female,0.219872
496275436475010,55-64,male,0.139316
496275436475010,45-54,female,0.052137
496275436475010,65+,unknown,0.001282
496275436475010,35-44,female,0.019444
496275436475010,18-24,male,0.018376
496275436475010,35-44,unknown,0.000641
1553924778896369,18-24,unknown,0.000705
1553924778896369,45-54,male,0.130749
1553924778896369,65+,unknown,0.000529
1553924778896369,18-24,female,0.015859
1553924778896369,35-44,male,0.068546
1553924778896369,25-34,female,0.027137
1553924778896369,25-34,male,0.048458
1553924778896369,18-24,male,0.01815
1553924778896369,65+,male,0.127753
1553924778896369,55-64,unknown,0.000529
1553924778896369,65+,female,0.217269
1553924778896369,55-64,female,0.118943
1553924778896369,45-54,female,0.076476
1553924778896369,55-64,male,0.109251
1553924778896369,35-44,female,0.037357
1553924778896369,35-44,unknown,0.001057
1553924778896369,45-54,unknown,0.001233
1278250943333203,18-24,unknown,0.000173
1278250943333203,45-54,male,0.116198
1278250943333203,25-34,unknown,0.000173
1278250943333203,65+,male,0.138051
1278250943333203,45-54,female,0.083767
1278250943333203,55-64,female,0.106833
1278250943333203,18-24,female,0.0111
1278250943333203,25-34,female,0.039716
1278250943333203,35-44,male,0.072494
1278250943333203,65+,unknown,0.000694
1278250943333203,65+,female,0.214187
1278250943333203,25-34,male,0.038328
1278250943333203,55-64,male,0.109608
1278250943333203,35-44,female,0.056191
1278250943333203,18-24,male,0.010232
1278250943333203,45-54,unknown,0.001041
1278250943333203,55-64,unknown,0.00052
1278250943333203,35-44,unknown,0.000694
1736450150434865,65+,unknown,0.000983
1736450150434865,55-64,female,0.110113
1736450150434865,35-44,unknown,0.000842
1736450150434865,18-24,unknown,0.000796
1736450150434865,55-64,unknown,0.000749
1736450150434865,25-34,male,0.057186
1736450150434865,25-34,female,0.053535
1736450150434865,35-44,male,0.077823
1736450150434865,65+,female,0.175441
1736450150434865,18-24,female,0.024288
1736450150434865,55-64,male,0.109785
1736450150434865,45-54,male,0.113389
1736450150434865,18-24,male,0.027236
1736450150434865,65+,male,0.114324
1736450150434865,45-54,female,0.078759
1736450150434865,45-54,unknown,0.000936
1736450150434865,35-44,female,0.053255
1736450150434865,25-34,unknown,0.000562
825328716250609,55-64,unknown,0.000998
825328716250609,65+,male,0.111144
825328716250609,25-34,unknown,0.000299
825328716250609,65+,unknown,0.000798
825328716250609,35-44,unknown,0.000599
825328716250609,25-34,male,0.015065
825328716250609,55-64,female,0.186471
825328716250609,35-44,male,0.047391
825328716250609,45-54,male,0.112741
825328716250609,25-34,female,0.012372
825328716250609,55-64,male,0.118029
825328716250609,65+,female,0.228375
825328716250609,45-54,female,0.116532
825328716250609,45-54,unknown,0.000698
825328716250609,35-44,female,0.037314
825328716250609,18-24,male,0.006984
825328716250609,18-24,female,0.003891
825328716250609,18-24,unknown,0.000299
1507205550163221,65+,unknown,0.000354
1507205550163221,55-64,male,0.150142
1507205550163221,35-44,unknown,0.000708
1507205550163221,55-64,unknown,0.002125
1507205550163221,45-54,unknown,0.000708
1507205550163221,35-44,female,0.014518
